Year,Pitching,Fielding
1995,1073094.3808118082,1168618.5263226393
1996,1159090.401552857,1249906.9146883765
1997,1324401.3926056337,1457767.308151768
1998,1494876.4112618472,1528542.4765549623
1999,1809777.7935519326,1765660.5723612623
1985,505417.66430183814,516732.0434825576
1986,457949.3031718712,474226.7777513668
1987,491159.3768292683,480650.04064598074
1988,518772.4015389,514974.080315651
2010,3909929.8943441636,3907171.1394501776
2010,3909929.8943441636,3907171.1394501776
2011,3765532.964937911,3977475.764799294
2012,4122585.2864246643,4168927.619436542
2013,4544444.374688452,4601249.779392203
2014,4875177.168851934,4993287.814084507
2015,5199009.647021344,5546555.107887358
2015,5199009.647021344,5546555.107887358
2016,5613417.8409339655,6137088.705689901
2016,5613417.8409339655,6137088.705689901
2002,2711042.1262741834,2736312.3799491464
2003,2793001.2309513562,2873895.8166470067
2004,2729096.962572596,2800702.499776553
2005,2942728.1539421678,3006133.26481149
2006,3191677.213528414,3251597.9925160096
2007,3346541.3809927874,3452472.8896600124
2008,3615391.4046180407,3830457.579066753
2009,3724179.172813732,3843047.1478771376
1990,604719.4744343892,607715.4763733018
1991,1066742.684768881,999387.2733099735
1992,1281471.8728950403,1192673.4482251953
1993,1181028.8377158556,1158137.203726205
1994,1229323.3925518924,1227211.4640649955
