l,w,win_loss,teamid,Year,era,playerid,pitching_win_loss,pitching_l,pitching_teamid,pitching_w,pitching_yearid,pitching_era,pitching_playerid
0,0,,NYA,1922,0,jonessa01,0.5,13,NYA,13,1922,3.6700000762939453,jonessa01
0,0,,NYA,1922,0,jonessa01,0.5,13,NYA,13,1922,3.6700000762939453,jonessa01
2,0,0.0,PIT,1990,6.00,smithza01,0.75,2,PIT,6,1990,1.2999999523162842,smithza01
2,0,0.0,PIT,1990,6.00,smithza01,0.75,2,PIT,6,1990,1.2999999523162842,smithza01
1,3,0.75,CHA,1917,2.33,faberre01,0.5517241379310345,13,CHA,16,1917,1.9199999570846558,faberre01
1,3,0.75,CHA,1917,2.33,faberre01,0.5517241379310345,13,CHA,16,1917,1.9199999570846558,faberre01
1,0,0.0,NY1,1888,6.75,titcoca01,0.6363636363636364,8,NY1,14,1888,2.240000009536743,titcoca01
1,0,0.0,NY1,1888,6.75,titcoca01,0.6363636363636364,8,NY1,14,1888,2.240000009536743,titcoca01
0,0,,LAN,1995,81.00,tapanke01,0.6666666666666666,2,LAN,4,1995,5.050000190734863,tapanke01
0,0,,LAN,1995,81.00,tapanke01,0.6666666666666666,2,LAN,4,1995,5.050000190734863,tapanke01
0,2,1.0,CHA,1906,0.6,walshed01,0.5666666666666667,13,CHA,17,1906,1.8799999952316284,walshed01
0,2,1.0,CHA,1906,0.6,walshed01,0.5666666666666667,13,CHA,17,1906,1.8799999952316284,walshed01
0,1,1.0,DET,1935,1,crowdal01,0.6153846153846154,10,DET,16,1935,4.260000228881836,crowdal01
0,1,1.0,DET,1935,1,crowdal01,0.6153846153846154,10,DET,16,1935,4.260000228881836,crowdal01
1,0,0.0,BOS,1975,6.75,clevere01,0.5909090909090909,9,BOS,13,1975,4.429999828338623,clevere01
1,0,0.0,BOS,1975,6.75,clevere01,0.5909090909090909,9,BOS,13,1975,4.429999828338623,clevere01
0,0,,HOU,2015,9.00,fiersmi01,0.6666666666666666,1,HOU,2,2015,3.319999933242798,fiersmi01
0,0,,HOU,2015,9.00,fiersmi01,0.6666666666666666,1,HOU,2,2015,3.319999933242798,fiersmi01
1,1,0.5,NYA,1951,4.2,reynoal01,0.68,8,NYA,17,1951,3.049999952316284,reynoal01
1,1,0.5,NYA,1951,4.2,reynoal01,0.68,8,NYA,17,1951,3.049999952316284,reynoal01
0,0,,TOR,2015,9.00,loupaa01,0.2857142857142857,5,TOR,2,2015,4.460000038146973,loupaa01
0,0,,TOR,2015,9.00,loupaa01,0.2857142857142857,5,TOR,2,2015,4.460000038146973,loupaa01
1,0,0.0,NYA,1955,4.15,grimbo01,0.5833333333333334,5,NYA,7,1955,4.190000057220459,grimbo01
1,0,0.0,NYA,1955,4.15,grimbo01,0.5833333333333334,5,NYA,7,1955,4.190000057220459,grimbo01
0,0,,ATL,1991,9.00,stclara01,,0,ATL,0,1991,4.079999923706055,stclara01
0,0,,ATL,1991,9.00,stclara01,,0,ATL,0,1991,4.079999923706055,stclara01
2,1,0.3333333333333333,CHN,1918,1,vaughhi01,0.6875,10,CHN,22,1918,1.7400000095367432,vaughhi01
2,1,0.3333333333333333,CHN,1918,1,vaughhi01,0.6875,10,CHN,22,1918,1.7400000095367432,vaughhi01
0,1,1.0,TOR,1993,7.71,leiteal01,0.6,6,TOR,9,1993,4.110000133514404,leiteal01
0,1,1.0,TOR,1993,7.71,leiteal01,0.6,6,TOR,9,1993,4.110000133514404,leiteal01
1,0,0.0,CLE,1998,8.10,wrighja02,0.5454545454545454,10,CLE,12,1998,4.71999979019165,wrighja02
1,0,0.0,CLE,1998,8.10,wrighja02,0.5454545454545454,10,CLE,12,1998,4.71999979019165,wrighja02
1,1,0.5,BRO,1947,8.64,brancra01,0.6363636363636364,12,BRO,21,1947,2.6700000762939453,brancra01
1,1,0.5,BRO,1947,8.64,brancra01,0.6363636363636364,12,BRO,21,1947,2.6700000762939453,brancra01
1,0,0.0,NY1,1913,4.5,demaral01,0.7647058823529411,4,NY1,13,1913,2.2100000381469727,demaral01
1,0,0.0,NY1,1913,4.5,demaral01,0.7647058823529411,4,NY1,13,1913,2.2100000381469727,demaral01
0,0,,CIN,1940,3.24,moorewh01,0.5,8,CIN,8,1940,3.630000114440918,moorewh01
0,0,,CIN,1940,3.24,moorewh01,0.5,8,CIN,8,1940,3.630000114440918,moorewh01
1,0,0.0,NYN,1988,4.50,mcdowro01,0.5,5,NYN,5,1988,2.630000114440918,mcdowro01
1,0,0.0,NYN,1988,4.50,mcdowro01,0.5,5,NYN,5,1988,2.630000114440918,mcdowro01
0,1,1.0,BRO,1916,4.26,coombja01,0.6190476190476191,8,BRO,13,1916,2.6600000858306885,coombja01
0,1,1.0,BRO,1916,4.26,coombja01,0.6190476190476191,8,BRO,13,1916,2.6600000858306885,coombja01
2,0,0.0,CLE,2001,7.27,finlech01,0.5333333333333333,7,CLE,8,2001,5.539999961853027,finlech01
2,0,0.0,CLE,2001,7.27,finlech01,0.5333333333333333,7,CLE,8,2001,5.539999961853027,finlech01
0,0,,NYA,1958,27,monroza01,0.6666666666666666,2,NYA,4,1958,3.259999990463257,monroza01
0,0,,NYA,1958,27,monroza01,0.6666666666666666,2,NYA,4,1958,3.259999990463257,monroza01
1,0,0.0,BRO,1955,9.53,newcodo01,0.8,5,BRO,20,1955,3.200000047683716,newcodo01
1,0,0.0,BRO,1955,9.53,newcodo01,0.8,5,BRO,20,1955,3.200000047683716,newcodo01
0,0,,NYA,1960,4.26,shantbo01,0.5555555555555556,4,NYA,5,1960,2.7899999618530273,shantbo01
0,0,,NYA,1960,4.26,shantbo01,0.5555555555555556,4,NYA,5,1960,2.7899999618530273,shantbo01
1,0,0.0,SLN,1946,3.48,polleho01,0.6774193548387096,10,SLN,21,1946,2.0999999046325684,polleho01
1,0,0.0,SLN,1946,3.48,polleho01,0.6774193548387096,10,SLN,21,1946,2.0999999046325684,polleho01
2,0,0.0,PHI,1983,8.64,hudsoch02,0.5,8,PHI,8,1983,3.3499999046325684,hudsoch02
2,0,0.0,PHI,1983,8.64,hudsoch02,0.5,8,PHI,8,1983,3.3499999046325684,hudsoch02
1,0,0.0,BOS,1986,7.71,boydoi01,0.6153846153846154,10,BOS,16,1986,3.7799999713897705,boydoi01
1,0,0.0,BOS,1986,7.71,boydoi01,0.6153846153846154,10,BOS,16,1986,3.7799999713897705,boydoi01
1,0,0.0,CHN,1929,4.73,rootch01,0.76,6,CHN,19,1929,3.4700000286102295,rootch01
1,0,0.0,CHN,1929,4.73,rootch01,0.76,6,CHN,19,1929,3.4700000286102295,rootch01
1,0,0.0,CHN,2007,9.00,marmoca01,0.8333333333333334,1,CHN,5,2007,1.4299999475479126,marmoca01
1,0,0.0,CHN,2007,9.00,marmoca01,0.8333333333333334,1,CHN,5,2007,1.4299999475479126,marmoca01
2,1,0.3333333333333333,NY1,1921,1.38,nehfar01,0.6666666666666666,10,NY1,20,1921,3.630000114440918,nehfar01
2,1,0.3333333333333333,NY1,1921,1.38,nehfar01,0.6666666666666666,10,NY1,20,1921,3.630000114440918,nehfar01
0,0,,PIT,1974,36.00,demerla01,0.5,6,PIT,6,1974,4.25,demerla01
0,0,,PIT,1974,36.00,demerla01,0.5,6,PIT,6,1974,4.25,demerla01
1,1,0.5,DET,1934,3.63,bridgto01,0.6666666666666666,11,DET,22,1934,3.6700000762939453,bridgto01
1,1,0.5,DET,1934,3.63,bridgto01,0.6666666666666666,11,DET,22,1934,3.6700000762939453,bridgto01
1,0,0.0,ATL,2000,7.71,millwke01,0.43478260869565216,13,ATL,10,2000,4.659999847412109,millwke01
1,0,0.0,ATL,2000,7.71,millwke01,0.43478260869565216,13,ATL,10,2000,4.659999847412109,millwke01
0,0,,CHN,1938,2.7,frencla01,0.3448275862068966,19,CHN,10,1938,3.799999952316284,frencla01
0,0,,CHN,1938,2.7,frencla01,0.3448275862068966,19,CHN,10,1938,3.799999952316284,frencla01
1,0,0.0,ATL,1982,5.19,perezpa01,0.5,4,ATL,4,1982,3.059999942779541,perezpa01
1,0,0.0,ATL,1982,5.19,perezpa01,0.5,4,ATL,4,1982,3.059999942779541,perezpa01
