yearid,rank,teamid,at_bats
2005,1,ATL,5486
2005,1,ATL,5486
1955,1,BRO,5193
1955,1,BRO,5193
2007,1,CHN,5643
2007,1,CHN,5643
1876,1,CHN,2748
1876,1,CHN,2748
1877,1,BSN,2368
1877,1,BSN,2368
1959,1,LAN,5282
1959,1,LAN,5282
1879,1,PRO,3392
1879,1,PRO,3392
1946,1,BOS,5318
1946,1,BOS,5318
1932,1,CHN,5462
1932,1,CHN,5462
1933,1,WS1,5524
1933,1,WS1,5524
1949,1,BRO,5400
1949,1,BRO,5400
1935,1,CHN,5486
1935,1,CHN,5486
1936,1,NY1,5449
1936,1,NY1,5449
1937,1,NYA,5487
1937,1,NYA,5487
1992,1,ATL,5480
1992,1,ATL,5480
1993,1,PHI,5685
1993,1,PHI,5685
1994,1,CHA,3942
1994,1,CHA,3942
1995,1,CIN,4903
1995,1,CIN,4903
1996,1,NYA,5628
1996,1,NYA,5628
1997,1,SFN,5485
1997,1,SFN,5485
1983,1,PHI,5426
1983,1,PHI,5426
1900,1,BRO,4860
1900,1,BRO,4860
1916,1,BOS,5018
1916,1,BOS,5018
1902,1,PHA,4762
1902,1,PHA,4762
1891,1,BSN,4956
1891,1,BSN,4956
1973,1,BAL,5537
1973,1,BAL,5537
1974,1,PIT,5702
1974,1,PIT,5702
1960,1,NYA,5290
1960,1,NYA,5290
1895,1,BLN,4725
1895,1,BLN,4725
1896,1,BLN,4719
1896,1,BLN,4719
2014,1,LAA,5652
2014,1,LAA,5652
1898,1,BSN,5276
1898,1,BSN,5276
2001,1,ATL,5498
2001,1,ATL,5498
2002,1,ATL,5495
2002,1,ATL,5495
1967,1,BOS,5471
1967,1,BOS,5471
1887,1,DTN,4689
1887,1,DTN,4689
1967,10,KC1,5349
1967,10,KC1,5349
1968,10,HOU,5336
1968,10,HOU,5336
1919,8,PHI,4746
1919,8,PHI,4746
1993,7,SDN,5503
1993,7,SDN,5503
1924,8,BSN,5283
1924,8,BSN,5283
2015,5,OAK,5600
2015,5,OAK,5600
1981,7,TOR,3521
1981,7,TOR,3521
1894,12,LS3,4482
1894,12,LS3,4482
1895,12,LS3,4724
1895,12,LS3,4724
2003,6,MIL,5548
2003,6,MIL,5548
1897,12,SLN,4642
1897,12,SLN,4642
1952,8,DET,5258
1952,8,DET,5258
2006,6,CHN,5587
2006,6,CHN,5587
1918,8,PHA,4278
1918,8,PHA,4278
1874,8,BL1,1781
1874,8,BL1,1781
1877,6,CN1,2135
1877,6,CN1,2135
1906,8,BSN,4925
1906,8,BSN,4925
1958,8,PHI,5363
1958,8,PHI,5363
1978,7,TOR,5430
1978,7,TOR,5430
1882,8,WOR,2984
1882,8,WOR,2984
1931,8,CIN,5343
1931,8,CIN,5343
1914,8,SLF,5078
1914,8,SLF,5078
1885,8,BL2,3820
1885,8,BL2,3820
1949,8,WS1,5234
1949,8,WS1,5234
1902,8,BLA,4760
1902,8,BLA,4760
1890,9,BR4,3475
1890,9,BR4,3475
2008,6,PIT,5628
2008,6,PIT,5628
2013,5,COL,5599
2013,5,COL,5599
1876,8,CN1,2372
1876,8,CN1,2372
1925,8,BOS,5166
1925,8,BOS,5166
1881,8,WOR,3093
1881,8,WOR,3093
1930,8,BOS,5286
1930,8,BOS,5286
1913,8,SLN,4967
1913,8,SLN,4967
1950,8,PHA,5212
1950,8,PHA,5212
1965,10,NYN,5441
1965,10,NYN,5441
1901,8,CIN,4914
1901,8,CIN,4914
